s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,attack
-0.281,9056.62,13.625,0.083,391.4,0.069,39.031,0
-0.214,9056.5,13.968,0.081,391.425,0.062,39.028,0
-0.209,9056.9,15.501,0.073,391.475,0.001,39.03,0
-0.298,9056.8,14.822,0.066,391.5,-0.065,39.029,0
-0.249,9056.79,14.789,0.067,391.45,0.008,39.03,0
-0.21,9057.02,15.869,0.061,391.475,-0.057,39.029,0
-0.274,9057.1,15.955,0.066,391.45,0.008,39.036,0
-0.177,9057.15,16.113,0.072,391.5,0.225,39.035,0
-0.177,9056.93,19.146,0.073,391.5,0.225,39.031,0
-0.048,9057.2,18.032,0.072,391.6,0.104,39.017,0
-0.107,9057.49,17.92,0.073,391.6,0.104,39.015,0
-0.042,9057.42,18.264,0.075,391.625,0.087,39.013,0
0.025,9058.05,20.246,0.072,391.6,0.063,39.005,0
0.077,9058.18,19.533,0.075,391.65,-0.019,39.005,0
0.077,9058.33,20.857,0.076,391.65,-0.019,39.007,0
0.02,9058.51,21.373,0.076,391.725,-0.084,39.002,0
0.065,9058.67,21.72,0.078,391.75,0.043,39.002,0
0.164,9058.64,21.67,0.071,391.75,0.043,38.996,0
0.26,9058.86,20.57,0.059,391.775,0.009,38.995,0
0.251,9059.12,20.95,0.062,391.775,0.009,38.998,0
0.283,9058.94,20.208,0.052,391.75,0.043,38.994,0
0.271,9059.22,17.842,0.052,391.825,0.041,38.995,0
0.372,9059.21,17.841,0.074,391.8,0.081,38.998,0
0.396,9059.31,17.901,0.073,391.825,0.024,38.999,0
0.309,9059.41,17.869,0.074,391.775,0.12,38.994,0
0.273,9059.58,17.716,0.079,391.825,0.024,38.987,0
0.305,9059.59,17.925,0.083,391.975,-0.055,38.978,0
0.32,9059.68,17.815,0.083,392.075,-0.149,38.977,0
0.32,9060.02,18.955,0.09,392.075,-0.149,38.977,0
0.253,9060.53,19.251,0.087,392.1,-0.2,38.966,0
0.336,9060.8,21.736,0.089,392.075,-0.15,38.959,0
0.44,9060.8,21.682,0.089,392.125,-0.251,38.954,0
0.44,9060.89,21.621,0.089,392.15,-0.301,38.953,0
0.369,9061.07,21.671,0.091,392.225,-0.316,38.954,0
0.362,9061.13,21.569,0.092,392.225,-0.316,38.949,0
0.452,9061.22,22.273,0.085,392.275,-0.421,38.947,0
0.332,9061.66,22.56,0.069,392.275,-0.41,38.941,0
0.331,9061.78,22.678,0.069,392.325,-0.517,38.938,0
0.264,9062.18,16.124,0.069,392.425,-0.359,38.937,0
0.203,9062.24,16.097,0.067,392.425,-0.359,38.937,0
0.201,9062.53,13.346,0.072,392.475,-0.368,38.94,0
0.277,9062.8,15.806,0.072,392.5,-0.383,38.938,0
0.303,9062.77,15.761,0.072,392.5,-0.383,38.941,0
0.28,9063.16,14.565,0.088,392.5,-0.383,38.94,0
0.223,9063.1,13.949,0.094,392.5,-0.383,38.938,0
0.28,9063.36,16.13,0.092,392.525,-0.457,38.933,0
0.05,9065.19,23.598,0.105,392.675,0.273,38.904,0
-0.015,9065.5,24.481,0.103,392.675,0.273,38.901,0
-0.015,9065.62,24.927,0.105,392.7,0.236,38.897,0
-0.113,9065.96,24.0,0.103,392.75,0.139,38.89,0
-0.091,9066.32,25.173,0.114,392.75,0.139,38.88,0
-0.092,9066.94,25.065,0.11,392.8,0.043,38.875,0
-0.08,9068.12,27.672,0.103,392.8,0.149,38.872,0
-0.054,9068.39,24.154,0.094,392.775,0.206,38.872,0
-0.054,9069.02,28.998,0.108,392.925,0.462,38.867,0
-0.054,9069.36,33.593,0.108,393.0,0.456,38.867,0
-0.106,9069.7,33.119,0.114,393.025,0.422,38.86,0
-0.107,9070.39,40.686,0.115,393.125,0.284,38.856,0
-0.009,9070.72,39.638,0.113,393.125,0.284,38.85,0
0.004,9071.14,36.44,0.095,393.175,0.192,38.845,0
-0.038,9071.37,36.49,0.105,393.2,0.132,38.841,0
0.04,9071.72,37.714,0.104,393.25,0.041,38.825,0
0.121,9072.39,38.473,0.105,393.25,0.041,38.819,0
0.244,9073.13,34.087,0.093,393.3,-0.004,38.81,0
0.163,9074.43,32.021,0.105,393.425,-0.139,38.79,0
0.213,9075.02,31.646,0.112,393.45,-0.166,38.784,0
0.213,9075.35,32.178,0.116,393.5,-0.226,38.783,0
0.296,9075.9,34.985,0.12,393.575,-0.188,38.777,0
0.251,9076.12,35.424,0.118,393.6,-0.252,38.778,0
0.245,9077.32,50.654,0.129,393.7,0.017,38.775,0
0.286,9078.39,57.922,0.14,393.775,-0.046,38.765,0
0.352,9079.35,60.93,0.149,393.775,-0.046,38.753,0
0.352,9080.25,63.572,0.144,393.925,0.252,38.748,0
0.278,9080.69,61.905,0.139,393.925,0.252,38.74,0
0.352,9081.24,63.372,0.127,393.925,0.252,38.739,0
0.352,9081.78,67.893,0.136,393.975,0.235,38.74,0
0.31,9082.46,70.584,0.135,394.025,0.264,38.733,0
0.337,9083.01,74.062,0.139,394.025,0.264,38.729,0
0.326,9084.32,80.539,0.148,394.2,0.317,38.717,0
0.299,9084.92,87.965,0.148,394.25,0.232,38.708,0
0.239,9086.69,92.592,0.134,394.375,0.268,38.688,0
0.222,9088.07,103.707,0.142,394.475,0.349,38.67,0
0.318,9088.74,114.1,0.152,394.475,0.349,38.661,0
0.323,9089.85,120.191,0.181,394.6,0.315,38.659,0
0.301,9090.82,129.003,0.174,394.6,0.315,38.65,0
0.234,9091.64,130.131,0.176,394.65,0.281,38.644,0
0.239,9093.78,131.035,0.173,394.775,0.12,38.628,0
0.267,9094.64,129.154,0.217,394.8,0.063,38.613,0
0.036,9053.08,19.495,0.08,391.675,0.246,38.983,0
-0.061,9053.17,19.608,0.08,391.675,0.246,38.982,0
-0.125,9053.17,19.6,0.087,391.7,0.183,38.978,0
-0.092,9053.18,18.8,0.077,391.725,0.12,38.981,0
-0.02,9053.58,20.31,0.075,391.825,-0.067,38.98,0
-0.031,9053.63,20.414,0.082,391.85,-0.1,38.981,0
-0.035,9053.78,21.701,0.083,391.85,-0.1,38.985,0
-0.006,9053.86,23.191,0.078,391.85,-0.2,38.983,0
0.085,9054.04,23.283,0.085,391.8,-0.331,38.984,0
0.086,9053.79,21.624,0.085,391.825,-0.298,38.99,0
0.193,9054.06,23.194,0.08,391.825,-0.298,38.985,0
0.292,9054.19,22.609,0.074,391.825,-0.298,38.982,0
0.193,9053.98,20.238,0.075,391.825,-0.298,38.992,0
0.289,9053.81,20.12,0.075,391.8,-0.23,38.992,0
0.2,9053.85,20.366,0.072,391.725,-0.388,38.994,0
0.11,9054.09,21.09,0.074,391.7,-0.403,39.006,0
0.066,9054.4,19.318,0.074,391.725,-0.364,39.005,0
0.021,9054.24,19.84,0.073,391.725,-0.364,39.005,0
0.023,9054.34,18.512,0.066,391.8,-0.361,39.005,0
0.025,9054.48,18.146,0.069,391.75,-0.296,39.006,0
0.009,9054.39,17.219,0.07,391.75,-0.296,39.002,0
0.074,9055.06,17.849,0.077,391.9,0.588,38.997,0
0.154,9055.16,17.772,0.075,391.875,0.627,38.999,0
0.133,9055.2,17.969,0.075,391.875,0.627,39.0,0
0.116,9055.45,14.869,0.077,391.875,0.627,38.994,0
0.054,9055.47,14.674,0.077,391.9,0.588,39.001,0
0.167,9055.64,14.009,0.082,391.9,0.557,39.002,0
0.192,9055.7,14.292,0.083,391.95,0.453,38.997,0
0.258,9056.03,15.051,0.084,391.95,0.453,38.991,0
0.214,9056.11,16.414,0.086,391.925,0.622,38.982,0
0.193,9055.91,18.249,0.076,391.95,0.66,38.978,0
0.05,9055.85,18.247,0.074,392.05,1.055,38.972,0
0.034,9056.02,16.389,0.068,392.075,0.961,38.973,0
0.063,9056.03,16.34,0.075,392.0,0.558,38.965,0
0.071,9056.35,16.193,0.075,392.025,0.489,38.96,0
0.054,9056.47,15.561,0.076,392.05,0.46,38.96,0
-0.018,9056.55,15.287,0.078,392.05,0.46,38.965,0
0.018,9056.38,14.468,0.079,392.025,0.529,38.96,0
0.018,9056.59,15.119,0.08,392.0,0.558,38.957,0
-0.045,9056.76,14.718,0.08,392.075,0.392,38.951,0
0.027,9057.04,16.16,0.092,392.125,0.299,38.954,0
0.139,9057.07,16.781,0.093,392.15,0.234,38.955,0
0.086,9057.19,17.379,0.094,392.15,0.234,38.958,0
0.084,9057.45,15.149,0.096,392.15,0.287,38.961,0
0.084,9057.54,15.232,0.094,392.175,0.26,38.964,0
0.015,9057.48,15.456,0.094,392.15,0.325,38.969,0
0.04,9057.63,15.637,0.082,392.175,0.26,38.975,0
0.023,9057.89,18.045,0.088,392.2,0.197,38.978,0
-0.003,9057.92,18.139,0.084,392.125,-0.092,38.975,0
-0.075,9058.1,19.0,0.094,392.15,-0.135,38.97,0
0.023,9058.85,22.455,0.089,392.125,-0.092,38.966,0
-0.003,9059.03,22.39,0.089,392.15,-0.148,38.963,0
-0.068,9059.12,22.224,0.088,392.15,-0.148,38.963,0
-0.063,9059.12,22.223,0.082,392.15,-0.148,38.955,0
-0.089,9059.14,22.23,0.08,392.125,-0.092,38.956,0
-0.165,9059.29,22.168,0.093,392.05,-0.1,38.963,0
-0.256,9059.85,20.38,0.097,392.1,-0.2,38.963,0
-0.188,9059.83,20.311,0.097,392.1,-0.2,38.966,0
-0.189,9059.91,20.22,0.109,392.15,-0.078,38.967,0
-0.215,9060.53,20.955,0.094,392.225,0.105,38.962,0
-0.315,9060.91,28.299,0.1,392.225,0.105,38.964,0
-0.306,9061.28,30.533,0.097,392.225,0.105,38.959,0
-0.341,9061.56,30.78,0.097,392.225,0.105,38.956,0
-0.318,9061.98,30.374,0.103,392.3,0.059,38.962,0
-0.318,9062.1,30.957,0.1,392.375,0.057,38.962,0
-0.273,9062.22,30.638,0.109,392.35,0.132,38.968,0
-0.273,9062.63,32.404,0.114,392.35,0.132,38.968,0
-0.422,9063.11,32.547,0.122,392.375,0.153,38.959,0
-0.422,9063.27,33.939,0.119,392.375,0.153,38.96,0
-0.367,9063.62,34.1,0.102,392.475,0.081,38.95,0
-0.367,9064.04,31.328,0.099,392.425,0.088,38.941,0
-0.435,9064.25,30.348,0.099,392.475,0.086,38.949,0
-0.385,9064.36,29.845,0.098,392.525,0.078,38.944,0
-0.44,9064.95,28.258,0.093,392.575,0.045,38.927,0
-0.414,9065.03,28.483,0.093,392.55,0.125,38.928,0
-0.481,9065.1,28.759,0.093,392.55,0.125,38.928,0
-0.558,9065.64,31.068,0.092,392.65,0.305,38.933,0
-0.476,9065.68,31.563,0.094,392.65,0.305,38.931,0
-0.442,9065.91,30.535,0.094,392.65,0.305,38.924,0
-0.451,9066.14,31.549,0.094,392.7,0.361,38.92,0
-0.39,9066.35,31.668,0.094,392.725,0.33,38.919,0
-0.32,9066.63,31.049,0.105,392.8,0.391,38.919,0
-0.32,9067.04,31.514,0.104,392.8,0.391,38.922,0
-0.194,9068.12,33.477,0.084,392.9,0.503,38.916,0
-0.137,9068.44,31.787,0.097,392.9,0.503,38.909,0
-0.194,9068.56,32.301,0.099,392.925,0.474,38.905,0
-0.1,9068.86,33.836,0.101,392.875,0.566,38.905,0
-0.115,9069.11,32.163,0.1,392.925,0.474,38.9,0
-0.135,9069.76,25.239,0.095,392.925,0.474,38.897,0
-0.147,9070.35,25.624,0.091,392.95,0.45,38.896,0
-0.129,9070.86,22.216,0.088,392.925,0.474,38.887,0
-0.047,9071.11,23.921,0.091,392.925,0.474,38.89,0
0.035,9071.45,23.723,0.092,392.925,0.474,38.886,0
0.118,9071.43,23.467,0.092,392.95,0.411,38.885,0
-0.06,9072.44,31.854,0.102,392.925,0.139,38.873,0
-0.084,9072.86,28.035,0.101,392.9,0.182,38.864,0
-0.024,9073.12,27.563,0.101,392.9,0.182,38.859,0
0.038,9073.58,26.53,0.084,392.95,0.091,38.853,0
0.058,9075.2,41.799,0.073,393.0,0.0,38.848,0
0.09,9075.96,40.741,0.071,393.0,0.0,38.848,0
0.08,9076.33,40.875,0.08,393.05,-0.094,38.847,0
0.067,9076.77,39.312,0.079,393.05,-0.094,38.842,0
0.005,9077.23,35.93,0.08,393.05,-0.094,38.835,0
0.044,9077.53,35.416,0.077,393.075,-0.143,38.841,0
0.007,9078.03,36.592,0.072,393.075,-0.143,38.839,0
-0.021,9078.66,39.56,0.071,393.125,-0.239,38.831,0
-0.011,9079.15,38.696,0.077,393.15,-0.284,38.827,0
0.037,9080.49,44.261,0.067,393.125,-0.512,38.821,0
-0.025,9081.18,45.976,0.065,393.175,-0.616,38.818,0
-0.025,9081.82,51.268,0.065,393.2,-0.66,38.821,0
-0.071,9082.53,55.317,0.066,393.2,-0.66,38.823,0
-0.095,9083.27,59.611,0.078,393.225,-0.447,38.821,0
-0.161,9084.32,67.194,0.072,393.275,-0.561,38.806,0
-0.196,9086.04,88.769,0.095,393.35,-0.547,38.796,0
-0.196,9086.84,91.636,0.105,393.4,-0.515,38.794,0
-0.3,9088.32,98.484,0.106,393.45,-0.51,38.793,0
-0.25,9089.16,96.418,0.108,393.45,-0.51,38.786,0
-0.208,9090.46,104.043,0.102,393.55,-0.275,38.775,0
-0.453,9092.74,114.062,0.129,393.775,-0.297,38.769,0
-0.434,9094.17,113.477,0.137,393.8,-0.317,38.756,0
-0.393,9095.06,127.133,0.133,393.9,-0.104,38.754,0
-0.317,9095.87,132.901,0.148,393.975,-0.119,38.745,0
-0.327,9096.82,131.361,0.148,394.05,-0.1,38.743,0
-0.425,9099.12,151.762,0.145,394.1,-0.069,38.73,0
-0.533,9101.21,183.478,0.138,394.3,0.176,38.723,0
-0.463,9102.33,189.721,0.159,394.35,0.115,38.716,0
-0.466,9104.43,211.65,0.185,394.45,-0.029,38.701,0
-0.438,9107.28,245.051,0.188,394.575,-0.182,38.692,0
-0.346,9108.61,251.866,0.18,394.625,-0.259,38.679,0
-0.335,9109.97,252.867,0.178,394.7,-0.211,38.673,0
-0.256,9111.38,252.95,0.184,394.725,-0.272,38.669,0
-0.164,9113.91,273.267,0.153,394.825,-0.32,38.658,0
-0.186,9115.56,293.418,0.154,394.875,-0.385,38.647,0
-0.186,9116.94,298.412,0.172,394.95,-0.396,38.634,0
-0.157,9118.51,309.198,0.176,395.025,-0.258,38.626,0
-0.223,9119.97,316.678,0.18,395.075,-0.357,38.614,0
-0.174,9121.37,325.419,0.179,395.125,-0.459,38.609,0
0.223,9046.83,18.508,0.058,392.8,-0.42,38.846,0
0.223,9046.64,17.886,0.053,392.775,-0.427,38.847,0
0.24,9046.69,17.562,0.053,392.8,-0.42,38.847,0
0.327,9046.8,14.373,0.055,392.8,-0.42,38.851,0
0.266,9046.98,15.275,0.058,392.85,-0.201,38.846,0
0.265,9046.88,14.794,0.058,392.825,-0.135,38.848,0
0.246,9046.83,14.714,0.058,392.825,-0.135,38.846,0
0.11,9046.32,14.505,0.056,392.825,-0.135,38.851,0
0.169,9046.28,14.551,0.053,392.825,-0.135,38.847,0
0.15,9046.54,18.654,0.049,392.85,-0.162,38.849,0
0.082,9046.42,18.201,0.049,392.825,-0.098,38.842,0
-0.069,9046.58,18.406,0.054,392.9,-0.128,38.844,0
-0.075,9046.73,19.168,0.053,392.9,-0.128,38.837,0
-0.075,9046.48,20.25,0.066,392.95,-0.225,38.83,0
-0.075,9046.72,18.52,0.063,392.975,-0.134,38.826,0
-0.135,9046.68,18.669,0.063,392.975,-0.134,38.82,0
-0.052,9046.66,18.395,0.065,393.025,-0.049,38.819,0
0.024,9046.65,18.384,0.069,393.025,-0.049,38.821,0
0.072,9046.5,17.74,0.069,393.025,-0.049,38.82,0
0.171,9046.34,15.436,0.07,392.975,0.049,38.809,0
0.124,9046.25,15.573,0.076,393.0,0.0,38.815,0
0.056,9046.19,15.462,0.075,392.975,0.05,38.813,0
0.043,9047.03,15.816,0.097,393.075,0.007,38.817,0
0.083,9046.9,16.05,0.109,393.125,-0.092,38.815,0
0.118,9047.1,16.07,0.108,393.15,-0.176,38.814,0
0.097,9047.0,16.176,0.106,393.1,-0.076,38.813,0
0.096,9046.97,16.741,0.115,393.05,0.023,38.811,0
0.084,9047.23,18.027,0.112,393.05,0.023,38.809,0
0.084,9047.34,17.929,0.118,393.0,0.122,38.806,0
-0.013,9047.4,20.316,0.13,393.025,0.068,38.804,0
0.054,9047.22,19.579,0.128,392.975,0.05,38.803,0
-0.034,9047.2,19.596,0.136,393.0,0.0,38.801,0
-0.017,9047.19,19.607,0.134,393.05,-0.1,38.805,0
0.033,9047.27,18.938,0.123,392.95,-0.023,38.805,0
0.062,9047.33,18.892,0.122,393.025,-0.05,38.8,0
0.157,9047.46,18.887,0.134,393.025,-0.05,38.789,0
0.157,9046.96,16.695,0.136,393.025,-0.05,38.788,0
0.144,9046.89,17.075,0.135,393.075,-0.15,38.791,0
0.179,9046.98,17.347,0.133,393.025,-0.05,38.785,0
0.203,9046.77,19.316,0.128,393.075,-0.023,38.788,0
0.258,9046.64,18.644,0.127,393.025,0.076,38.784,0
0.263,9046.99,17.587,0.123,393.05,0.04,38.795,0
0.266,9046.72,16.901,0.117,393.05,0.04,38.795,0
0.118,9046.54,18.55,0.123,393.125,-0.104,38.802,0
0.195,9047.16,24.644,0.144,393.225,-0.08,38.782,0
0.097,9046.95,22.496,0.151,393.25,-0.043,38.78,0
0.021,9047.04,23.711,0.124,393.225,-0.08,38.779,0
-0.027,9046.98,23.8,0.128,393.2,-0.043,38.777,0
-0.039,9047.05,23.507,0.127,393.2,-0.043,38.776,0
-0.039,9047.0,23.035,0.131,393.175,0.098,38.769,0
0.017,9047.16,23.181,0.127,393.25,0.053,38.77,0
0.044,9047.37,22.389,0.126,393.3,-0.035,38.766,0
0.101,9047.06,22.696,0.132,393.325,-0.1,38.761,0
0.066,9047.49,20.242,0.136,393.375,-0.19,38.758,0
0.066,9047.47,20.121,0.136,393.35,-0.123,38.752,0
-0.013,9047.48,20.085,0.133,393.375,-0.19,38.752,0
-0.016,9047.59,20.288,0.132,393.4,-0.256,38.75,0
-0.036,9047.73,20.718,0.148,393.425,-0.219,38.747,0
-0.097,9047.76,20.456,0.164,393.475,-0.307,38.745,0
-0.048,9047.83,20.352,0.163,393.575,-0.128,38.737,0
-0.031,9047.77,20.477,0.163,393.6,-0.119,38.727,0
-0.146,9048.01,20.685,0.161,393.725,-0.084,38.73,0
-0.156,9047.99,20.606,0.152,393.75,-0.149,38.731,0
-0.156,9048.19,18.706,0.145,393.75,-0.149,38.727,0
-0.059,9048.41,18.281,0.147,393.775,-0.172,38.725,0
-0.111,9048.38,18.176,0.147,393.825,-0.207,38.718,0
-0.09,9048.45,18.126,0.146,393.875,-0.111,38.716,0
-0.156,9048.78,15.495,0.141,393.825,-0.015,38.71,0
-0.226,9048.69,16.229,0.14,393.9,-0.02,38.715,0
-0.206,9048.61,17.037,0.139,394.075,-0.148,38.696,0
-0.328,9048.84,16.488,0.149,394.175,-0.24,38.684,0
-0.261,9048.92,15.628,0.149,394.125,-0.244,38.678,0
-0.296,9049.14,14.416,0.154,394.2,-0.393,38.663,0
-0.294,9048.94,13.947,0.124,394.175,-0.344,38.661,0
-0.376,9048.93,13.88,0.099,394.25,-0.395,38.661,0
-0.467,9048.52,10.614,0.11,394.3,-0.404,38.657,0
-0.467,9048.57,10.648,0.12,394.325,-0.371,38.656,0
-0.435,9048.47,9.729,0.117,394.375,-0.402,38.651,0
-0.442,9048.69,11.884,0.14,394.525,-0.517,38.638,0
-0.442,9048.83,12.153,0.146,394.575,-0.44,38.631,0
-0.428,9048.85,12.236,0.14,394.6,-0.43,38.622,0
-0.526,9048.73,12.527,0.126,394.625,-0.496,38.617,0
-0.466,9048.95,13.146,0.122,394.725,-0.411,38.606,0
-0.482,9049.06,11.178,0.148,394.875,-0.391,38.593,0
-0.482,9049.1,11.476,0.179,394.95,-0.359,38.586,0
-0.405,9049.48,13.691,0.162,395.15,-0.535,38.563,0
-0.294,9055.41,17.432,0.109,392.725,-0.364,38.841,0
-0.367,9055.8,15.436,0.103,392.85,-0.434,38.848,0
-0.341,9055.78,15.36,0.101,392.8,-0.42,38.839,0
-0.357,9055.58,17.854,0.104,392.825,-0.498,38.839,0
-0.349,9055.58,17.855,0.102,392.875,-0.576,38.835,0
-0.334,9055.81,19.189,0.105,392.875,-0.576,38.835,0
-0.258,9056.04,20.239,0.104,392.925,-0.36,38.836,0
-0.291,9055.99,20.361,0.111,393.0,-0.383,38.834,0
-0.19,9055.86,20.712,0.103,392.975,-0.352,38.836,0
-0.182,9055.81,20.634,0.103,392.95,-0.323,38.839,0
-0.222,9055.91,20.933,0.112,392.9,-0.231,38.843,0
-0.156,9055.91,20.986,0.107,392.9,-0.231,38.847,0
-0.162,9055.98,21.095,0.099,392.925,-0.103,38.841,0
-0.201,9056.25,21.889,0.101,392.9,-0.073,38.84,0
-0.347,9056.56,23.071,0.098,393.025,-0.291,38.844,0
-0.292,9056.73,23.582,0.097,393.025,-0.291,38.848,0
-0.218,9056.75,23.607,0.097,393.075,-0.389,38.85,0
-0.208,9056.86,23.922,0.099,393.075,-0.389,38.848,0
-0.239,9056.92,23.383,0.099,393.1,-0.429,38.846,0
-0.199,9056.93,23.394,0.077,393.1,-0.429,38.85,0
-0.104,9056.78,22.388,0.079,393.2,-0.14,38.85,0
-0.09,9056.69,22.893,0.077,393.125,-0.731,38.847,0
-0.006,9056.89,20.813,0.084,393.1,-0.695,38.847,0
-0.025,9056.86,20.794,0.087,393.025,-0.875,38.845,0
-0.025,9056.96,21.457,0.088,393.0,-0.799,38.843,0
0.057,9057.14,21.338,0.089,393.025,-0.824,38.843,0
0.052,9057.16,21.361,0.09,393.05,-0.707,38.841,0
0.144,9057.03,20.946,0.088,393.025,-0.639,38.84,0
0.063,9057.35,21.217,0.088,393.025,-0.639,38.839,0
0.167,9057.84,17.651,0.101,393.1,-0.776,38.842,0
0.264,9057.99,16.09,0.118,393.1,-0.776,38.837,0
0.348,9058.43,18.919,0.117,393.125,-0.812,38.848,0
0.441,9058.37,18.921,0.113,393.1,-0.743,38.845,0
0.397,9058.52,19.149,0.117,393.05,-0.641,38.844,0
0.446,9058.7,19.244,0.116,393.025,-0.607,38.835,0
0.418,9058.8,19.325,0.121,393.1,-0.708,38.837,0
0.418,9059.1,14.829,0.126,393.125,-0.746,38.838,0
0.473,9059.44,17.196,0.144,393.1,-0.85,38.836,0
0.435,9059.69,16.869,0.149,393.075,-0.817,38.836,0
0.331,9060.09,17.006,0.147,393.1,-0.85,38.832,0
0.331,9060.38,17.52,0.146,393.125,-0.884,38.836,0
0.341,9060.79,20.252,0.129,393.175,-1.04,38.825,0
0.344,9061.23,24.823,0.127,393.2,-1.124,38.819,0
0.42,9061.29,24.932,0.128,393.175,-1.087,38.818,0
0.449,9061.88,25.227,0.128,393.2,-0.965,38.815,0
0.468,9062.21,27.042,0.128,393.2,-0.965,38.819,0
0.511,9062.35,27.886,0.133,393.225,-1.006,38.817,0
0.484,9062.58,27.814,0.133,393.225,-1.006,38.816,0
0.618,9063.69,35.884,0.107,393.25,-1.049,38.805,0
0.557,9064.61,36.266,0.101,393.3,-0.975,38.804,0
0.486,9064.9,34.956,0.11,393.3,-0.975,38.8,0
0.481,9065.28,36.009,0.123,393.325,-1.027,38.796,0
0.566,9065.82,38.418,0.128,393.425,-0.335,38.793,0
0.58,9066.15,40.311,0.131,393.475,-0.401,38.793,0
0.593,9066.49,40.967,0.13,393.475,-0.401,38.788,0
0.683,9066.89,40.572,0.131,393.475,-0.401,38.79,0
0.639,9067.43,40.198,0.131,393.525,-0.454,38.781,0
0.718,9067.84,44.052,0.133,393.525,-0.454,38.779,0
0.668,9068.72,45.865,0.121,393.6,0.16,38.772,0
0.573,9069.25,43.588,0.115,393.625,0.086,38.766,0
0.466,9069.9,48.575,0.112,393.65,0.187,38.757,0
0.466,9070.58,47.194,0.112,393.675,0.113,38.754,0
0.387,9071.43,46.1,0.113,393.75,0.184,38.75,0
0.364,9071.92,46.672,0.114,393.8,0.101,38.752,0
0.364,9072.44,46.081,0.117,393.825,0.078,38.752,0
0.362,9073.07,42.323,0.102,393.85,0.05,38.746,0
0.362,9073.48,43.155,0.1,393.875,-0.012,38.749,0
0.237,9074.39,44.413,0.104,393.875,0.018,38.75,0
0.422,9077.55,69.747,0.104,394.025,-0.05,38.734,0
0.425,9078.99,84.501,0.085,394.075,-0.149,38.727,0
0.37,9079.96,90.734,0.084,394.1,-0.199,38.723,0
0.381,9080.59,98.615,0.076,394.075,-0.148,38.72,0
0.338,9081.42,110.246,0.079,394.05,-0.099,38.712,0
0.252,9082.26,115.606,0.094,394.05,-0.099,38.71,0
0.33,9083.21,113.59,0.099,394.025,-0.05,38.708,0
0.343,9084.22,120.568,0.098,394.05,-0.1,38.702,0
0.216,9086.18,141.303,0.097,394.2,0.331,38.69,0
0.126,9086.94,154.055,0.093,394.275,0.468,38.689,0
0.087,9088.04,161.643,0.096,394.3,0.401,38.69,0
0.023,9089.16,187.759,0.096,394.325,0.396,38.686,0
0.089,9090.45,199.302,0.105,394.375,0.328,38.68,0
0.06,9095.29,267.365,0.111,394.45,0.185,38.681,0
0.06,9096.66,283.565,0.13,394.5,0.287,38.668,0
0.018,9099.2,317.712,0.137,394.625,0.114,38.664,0
0.012,9102.14,346.731,0.131,394.65,0.192,38.65,0
0.094,9106.68,395.674,0.142,394.85,-0.019,38.628,0
0.075,9110.09,424.61,0.142,394.95,-0.111,38.612,0
0.1,9058.65,14.422,0.078,393.25,-0.263,38.855,0
0.015,9058.66,15.282,0.081,393.3,-0.364,38.847,0
0.093,9058.62,15.623,0.077,393.25,-0.275,38.839,0
0.038,9058.59,15.712,0.077,393.25,-0.275,38.836,0
0.128,9058.52,15.754,0.079,393.2,-0.176,38.838,0
0.183,9058.64,16.403,0.082,393.15,-0.078,38.84,0
0.214,9058.58,16.997,0.081,393.125,-0.023,38.835,0
0.183,9058.77,19.536,0.08,393.1,0.02,38.84,0
0.086,9058.78,19.617,0.08,393.1,0.02,38.837,0
0.102,9058.69,18.945,0.08,393.05,0.117,38.837,0
0.084,9058.68,18.968,0.079,393.025,0.068,38.835,0
0.084,9058.59,19.242,0.083,393.0,0.122,38.838,0
0.059,9058.74,20.215,0.083,393.0,0.122,38.841,0
0.022,9058.79,20.39,0.083,392.975,0.176,38.842,0
-0.051,9058.94,19.323,0.083,392.95,0.1,38.842,0
-0.162,9059.66,15.353,0.097,393.025,0.106,38.829,0
-0.022,9059.77,16.658,0.102,393.05,0.18,38.828,0
0.012,9059.75,16.463,0.101,393.025,0.239,38.826,0
0.066,9060.03,17.763,0.095,393.075,0.164,38.825,0
-0.022,9060.29,17.827,0.089,393.1,0.336,38.828,0
-0.118,9060.45,18.166,0.08,393.175,0.177,38.821,0
-0.144,9060.26,18.768,0.078,393.2,0.158,38.823,0
-0.144,9060.42,19.573,0.075,393.15,0.141,38.821,0
-0.144,9060.37,19.554,0.073,393.075,0.103,38.82,0
-0.046,9060.44,19.017,0.06,393.075,0.103,38.813,0
-0.112,9060.58,19.526,0.061,393.075,0.103,38.817,0
-0.046,9060.93,15.918,0.06,393.1,0.073,38.827,0
-0.022,9060.78,16.431,0.057,393.125,0.012,38.829,0
-0.046,9060.84,16.321,0.06,393.075,0.103,38.824,0
0.026,9060.82,16.317,0.06,393.075,0.103,38.83,0
-0.039,9060.94,15.263,0.061,393.1,0.073,38.84,0
0.02,9060.91,15.175,0.061,393.15,-0.015,38.835,0
0.017,9061.19,14.399,0.063,393.225,-0.165,38.827,0
-0.079,9061.59,14.077,0.072,393.275,-0.251,38.821,0
-0.041,9061.52,13.234,0.087,393.3,-0.264,38.82,0
0.032,9061.61,13.689,0.087,393.25,-0.184,38.82,0
0.093,9062.36,14.792,0.088,393.25,-0.125,38.809,0
